Name,Position,Meta_Data
boxC_18,"[0, Decimal('10.000'), Decimal('12.000')]","boxC_18(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('10.000'), Decimal('12.000')]) rt(0) vol(60.000)"
boxC_19,"[Decimal('6.000'), Decimal('10.000'), Decimal('12.000')]","boxC_19(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('10.000'), Decimal('12.000')]) rt(0) vol(60.000)"
boxD_0,"[0, 0, Decimal('14.000')]","boxD_0(6.000x5.000x2.000, weight: 2.000) pos([0, 0, Decimal('14.000')]) rt(0) vol(60.000)"
boxD_1,"[Decimal('6.000'), 0, Decimal('14.000')]","boxD_1(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), 0, Decimal('14.000')]) rt(0) vol(60.000)"
boxD_2,"[0, Decimal('5.000'), Decimal('14.000')]","boxD_2(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('5.000'), Decimal('14.000')]) rt(0) vol(60.000)"
boxD_3,"[Decimal('6.000'), Decimal('5.000'), Decimal('14.000')]","boxD_3(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('5.000'), Decimal('14.000')]) rt(0) vol(60.000)"
boxD_4,"[0, Decimal('10.000'), Decimal('14.000')]","boxD_4(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('10.000'), Decimal('14.000')]) rt(0) vol(60.000)"
boxD_5,"[Decimal('6.000'), Decimal('10.000'), Decimal('14.000')]","boxD_5(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('10.000'), Decimal('14.000')]) rt(0) vol(60.000)"
boxD_6,"[0, 0, Decimal('16.000')]","boxD_6(6.000x5.000x2.000, weight: 2.000) pos([0, 0, Decimal('16.000')]) rt(0) vol(60.000)"
boxD_7,"[Decimal('6.000'), 0, Decimal('16.000')]","boxD_7(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), 0, Decimal('16.000')]) rt(0) vol(60.000)"
boxD_8,"[0, Decimal('5.000'), Decimal('16.000')]","boxD_8(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('5.000'), Decimal('16.000')]) rt(0) vol(60.000)"
boxD_9,"[Decimal('6.000'), Decimal('5.000'), Decimal('16.000')]","boxD_9(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('5.000'), Decimal('16.000')]) rt(0) vol(60.000)"
boxD_10,"[0, Decimal('10.000'), Decimal('16.000')]","boxD_10(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('10.000'), Decimal('16.000')]) rt(0) vol(60.000)"
boxD_11,"[Decimal('6.000'), Decimal('10.000'), Decimal('16.000')]","boxD_11(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('10.000'), Decimal('16.000')]) rt(0) vol(60.000)"
boxD_12,"[0, 0, Decimal('18.000')]","boxD_12(6.000x5.000x2.000, weight: 2.000) pos([0, 0, Decimal('18.000')]) rt(0) vol(60.000)"
boxD_13,"[Decimal('6.000'), 0, Decimal('18.000')]","boxD_13(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), 0, Decimal('18.000')]) rt(0) vol(60.000)"
boxD_14,"[0, Decimal('5.000'), Decimal('18.000')]","boxD_14(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('5.000'), Decimal('18.000')]) rt(0) vol(60.000)"
boxD_15,"[Decimal('6.000'), Decimal('5.000'), Decimal('18.000')]","boxD_15(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('5.000'), Decimal('18.000')]) rt(0) vol(60.000)"
boxD_16,"[0, Decimal('10.000'), Decimal('18.000')]","boxD_16(6.000x5.000x2.000, weight: 2.000) pos([0, Decimal('10.000'), Decimal('18.000')]) rt(0) vol(60.000)"
boxD_17,"[Decimal('6.000'), Decimal('10.000'), Decimal('18.000')]","boxD_17(6.000x5.000x2.000, weight: 2.000) pos([Decimal('6.000'), Decimal('10.000'), Decimal('18.000')]) rt(0) vol(60.000)"
